year,att,ci_low,ci_high
2007,0.12387739715342644,-3.129212356879587,3.298820039724298
2008,1.2382107001897042,-3.6080271027841606,3.38749740604107
2009,1.7729918248361562,-2.8240494024384377,2.7707233068204955
2010,1.8820861654186003,-4.160179495095918,3.366150359478252
2011,1.1934885065704697,-3.144780955657303,2.9261067229638327
2012,1.1145213893542656,-3.61735733928228,2.7471390346545412
2013,1.537770269827079,-4.161643824223931,3.3123619528152557
2014,1.4065145976437101,-3.8767054059667867,3.0461430830185545
2015,0.4523691540443835,-3.4827456770970477,4.440701437589714
