Year,CA_actual,Synth_CA,ATT_yearly,Post
1995,71.40388934928443,72.04017085572204,-0.12511508756006573,0
1996,71.72220553737864,72.59718976825255,-0.3638178119963245,0
1997,72.83827845537894,73.15852812650458,0.1909167477519308,0
1998,73.07200425549146,73.24101404104488,0.34215663332413004,0
1999,72.37602096949878,73.6455482103223,-0.7583608219459523,0
2000,72.55586498663911,73.9524631414973,-0.885431735980631,0
2001,72.90818450351358,73.4510951164543,-0.03174419406314333,0
2002,72.67192821405517,72.71200049324659,0.47109413968613334,0
2003,71.89327031360432,72.38059758261475,0.023839149867120005,0
2004,71.73491857278009,72.13376069671514,0.11232429494250887,1
2005,70.38985826107191,73.42874259221193,-2.527717912262453,1
2006,71.57259027816443,72.41962204706886,-0.3358653500268626,1
2007,72.21876192919949,72.59886419453942,0.13106415353764866,1
2008,72.56381386603877,71.86096572859499,1.214014556321335,1
2009,72.37605638995458,71.12879752263908,1.7584252861930616,1
2010,72.75132711732634,71.38069437371554,1.8817991624883712,1
2011,71.28679856323046,70.61982336177599,1.1781416203320456,1
2012,71.21034762062925,70.6185037910958,1.1030102484110007,1
2013,70.77389616573548,69.75324818332642,1.5318144012866197,1
2014,70.8970848736437,70.00207887203044,1.4061724204908401,1
2015,70.25099859284308,70.30601106718493,0.4561539445356999,1
